Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"12/11/2015","4 THE COMMON, CORNMARKET, BALLINROBE","","Mayo","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","47 ABBEY ST, BALLINROBE, MAYO","","Mayo","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","48 ABBEY ST, BALLINROBE, MAYO","","Mayo","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","5 HOWLEY STREET, CLARE STREET, BALLINA","","Mayo","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","5 THE COMMON, CORNMARKET, BALLINROBE","","Mayo","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","6 THE COMMON, CORNMARKET, BALLINROBE","","Mayo","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","7 THE COMMON, CORNMARKET, BALLINROBE","","Mayo","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","8 THE COMMON, CORNMARKET, BALLINROBE","","Mayo","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","9 SHRUFFAUN APTS, NEW LINE, CASTLEBAR","","Mayo","€42,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","BARNALYRA, CHARLESTOWN, CO MAYO","","Mayo","€20,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","CARROWBRACK, BALLYGLASS, MAYO","","Mayo","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/11/2015","CUSHIN AYLE, WESTPORT, MAYO","","Mayo","€308,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/11/2015","8 MEADOW PARK, RATHSCANLAN, SWINFORD","","Mayo","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/11/2015","DRUMSHIEL, CONG, MAYO","","Mayo","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"15/11/2015","79 GLENFORT, CASTLEBAR, MAYO","","Mayo","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"15/11/2015","CLAREMORRIS RD, BALLINROBE, MAYO","","Mayo","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/11/2015","5 VICTORIA PLACE, CASTLEBAR, MAYO","","Mayo","€91,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"16/11/2015","CARROWBAUN, WESTPORT, MAYO","","Mayo","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/11/2015","32 GLEBE ST, BALLINROBE, MAYO","","Mayo","€62,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"17/11/2015","CRYSTAL WATERS, AGHANY, LOUISBURGH","","Mayo","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/11/2015","10 BOTHAR SYNGE, GEESALA, BALLINA","","Mayo","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/11/2015","35 KILBEAGH VILLAGE, CHARLESTOWN, MAYO","","Mayo","€67,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/11/2015","BEAL AN TSAILE, BALLATALEEN, MURRISK","","Mayo","€510,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"18/11/2015","GULLION PARTKY, CLAREMORRIS, MAYO","","Mayo","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/11/2015","23 College Woods, Balla","","Mayo","€61,232.00","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"19/11/2015","74 KNOCKAPHUNTA, CASTLEBAR, MAYO","","Mayo","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"19/11/2015","CURRABAGGAN, KNOCKMORE, BALLINA","","Mayo","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
